Symbol,Company,Industry,Market Cap
A,Agilent Technologies,Life Sciences Tools & Services,46.26B
AA,Alcoa,Metals & Mining,9.16B
AAC,Ares Acquisition,Blank Check / SPAC,1.23B
AACG,ATA Creativity Global,Diversified Consumer Services,55.54M
AACI,Armada Acquisition I,Blank Check / SPAC,202.95M
AADI,Aadi Bioscience,Biotechnology,506.05M
AAIC,Arlington Asset Investment,"Mortgage Real Estate Investment 
Trus...",116.63M
AAL,American Airlines,Airlines,12.51B
AAMC,Altisource Asset Management,Real Estate Management & Development,45.22M
AAME,Atlantic American,Insurance,85.39M
AAN,The Aaron's Company,Specialty Retail,801.09M
AAOI,Applied Optoelectronics,Communications Equipment,159.15M
AAON,"AAON, Inc.",Building Products,4.08B
AAP,Advance Auto Parts,Specialty Retail,14.62B
AAPL,Apple,"Technology Hardware, Storage & Periph...","2,624.86B"
AAQC,Accelerate Acquisition,Blank Check / SPAC,488.00M
AAT,American Assets Trust,"Equity Real Estate 
Investment Trusts...",2.31B
AATC,Autoscope Technologies,Scientific & Technical Instruments,36.98M
AAU,Almaden Minerals,Metals & Mining,47.73M
AAWW,Atlas Air Worldwide Holdings,Air Freight & Logistics,2.74B
AB,AllianceBernstein,Capital Markets,5.40B
ABB,ABB Ltd.,Electrical Equipment,70.63B
ABBV,AbbVie,Biotechnology,210.06B
ABC,AmerisourceBergen,Health Care Providers & Services,25.25B
ABCB,Ameris Bancorp,Banks,3.71B
ABCL,AbCellera Biologics,Biotechnology,3.95B
ABCM,Abcam PLC,Biotechnology,5.11B
ABEO,Abeona Therapeutics,Biotechnology,76.87M
ABEV,Ambev,Beverages,48.19B
ABG,Asbury Automotive Group,Specialty Retail,3.78B
ABGI,ABG Acquisition I,Blank Check / SPAC,188.69M
ABIO,ARCA biopharma,Biotechnology,32.86M
ABM,ABM Industries,Commercial Services & Supplies,3.28B
ABMD,Abiomed,Health Care Equipment & Supplies,14.85B
ABNB,Airbnb,"Hotels, Restaurants & Leisure",112.39B
ABOS,Acumen Pharmaceuticals,Biotechnology,372.71M
ABR,Arbor Realty Trust,"Mortgage Real Estate Investment 
Trus...",2.74B
ABSI,Absci,Biotechnology,981.01M
ABST,Absolute Software,Software-Application,457.68M
ABT,Abbott Laboratories,Health Care Equipment & Supplies,218.19B
ABTX,Allegiance Bancshares,Banks,909.86M
ABUS,Arbutus Biopharma,Biotechnology,415.28M
ABVC,ABVC BioPharma,Biotechnology,85.30M
AC,Associated Capital Group,Capital Markets,923.13M
ACA,Arcosa,Construction & Engineering,2.79B
ACAD,ACADIA Pharmaceuticals,Biotechnology,3.08B
ACAH,Atlantic Coastal Acquisition,Blank Check / SPAC,418.74M
ACB,Aurora Cannabis,Pharmaceuticals,1.32B
ACBA,Ace Global Business Acquisition,Blank Check / SPAC,61.02M
ACBI,Atlantic Capital Bancshares,Banks,601.43M
ACC,American Campus Communities,"Equity Real Estate 
Investment Trusts...",7.43B
ACCD,Accolade,Health Care Technology,1.86B
ACCO,ACCO Brands,Commercial Services & Supplies,843.87M
ACEL,Accel Entertainment,"Hotels, Restaurants & Leisure",1.23B
ACER,Acer Therapeutics,Pharmaceuticals,31.91M
ACET,Adicet Bio,Health Care Providers & Services,295.27M
ACEV,ACE Convergence Acquisition,Blank Check / SPAC,286.06M
ACGL,Arch Capital Group,Insurance,16.88B
ACH,Aluminum Corporation of China,Metals & Mining,12.64B
ACHC,Acadia Healthcare Company,Health Care Providers & Services,5.47B
ACHL,Achilles Therapeutics,Biotechnology,195.38M
ACHR,Archer Aviation,Aerospace & Defense,1.42B
ACHV,Achieve Life Sciences,Biotechnology,69.39M
ACI,Albertsons Companies,Grocery Stores,16.61B
ACII,Atlas Crest Investment II,Blank Check / SPAC,421.33M
ACIU,AC Immune,Biotechnology,382.88M
ACIW,ACI Worldwide,Software,3.74B
ACKIT,Ackrell SPAC Partners I,Blank Check / SPAC,154.12M
ACLS,Axcelis Technologies,Semiconductors & Semiconductor Equipment,2.07B
ACM,AECOM,Construction & Engineering,10.67B
ACMR,ACM Research,Semiconductors & Semiconductor Equipment,1.70B
ACN,Accenture,IT Services,227.49B
ACNB,ACNB Corporation,Banks,252.16M
ACOR,Acorda Therapeutics,Biotechnology,36.60M
